heroes,heroes_gender,heroes_twitter_handle
NULL,NULL,NULL
Abhishek Thakur,Male,abhi1thakur
Ryan Chesler,Male,ryan_chesler
Edouard Harris,Male,neutronsNeurons
Shivam Bansal,Male,shivamshaz
Tim Dettmers,Male,Tim_Dettmers
Shivam Bansal,Male,shivamshaz
Andrey Lukyanenko,Male,AndLukyane
James Dellinger,Male,jamrdell
Vladimir Iglovikov,Male,viglovikov
Yury Kashnitsky,Male,ykashnitsky
Christine Payne,Female,mcleavey
Robert Bracco,Male,MadeUpMasters
Pierre Stock,Male,PierreStock
Judy Gichoya,Female,judywawira
Andrew Shaw,Male,bearpelican
Julien Chaumond,Male,julien_c
David Foster,Male,NULL
Chip Huyen,Female,chipro
Boris Dorado,Male,NULL
Bart Chrazaszcz,Male,bart_chr
Marc Lactot,Male,sharky6000
Tuatini Godard,Male,NULL
Andres Torrubia,Male,antor
Philipp Singer,Male,ph_singer
Jean Francois Puget,Male,jfpuget
Victor Sanh,Male,sanhestpasmoi
Jeremy Howard,Male,jeremyphoward
Arno Candel,Male,arnocandel
Eugene Khvedchenya,Male,cvtalks
Olivier Grellier,Male,NULL
Even Oldridge,Male,Even_Oldridge
Leland Wilkinson,Male,NULL
Gilberto Titericz,Male,giba1
Dmitry Gordeev | Philipp Singer,Male,dott1718 | ph_singer
Rohan Rao,Male,vopani
Jason Antic,Male,citnaj
Anthony Goldbloom,Male,antgoldbloom
Mikel Bober-Irizar,Male,mikb0b
Patrick Hall,Male,jpatrickhall
Zachary Mueller,Male,TheZachMueller
Navdeep Gill,Male,Navdeep_Gill_
Sebastian Raschka,Male,rasbt
Ashrith Barthur,Male,cyberbaggage
Radek Osmulski,Male,radekosmulski
Marios Michailidis,Male,stacknet_
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
Tarin Clanuwat,Female,tkasasagi
John Miller,Male,johnmillertx
Christof Henkel,Male,kagglingdieter
Parul Pandey,Female,pandeyparul
Walter Reade,Male,walterreade
Sergey Kolesnikov,Male,scitator
Russ Wolfinger,Male,NULL
Erin LeDell,Female,ledell
Sylvain Gugger,Male,guggersylvain
Edouard Harris | Jeremie Harris | Russell Pollari,Male,neutronsNeurons | russ_poll | jeremiecharris
Dmytro Mushkin,Male,ducha_aiki
Mark Landry,Male,mark_a_landry
Dan Becker,Male,dan_s_becker
Suzana IlliÄ‡,Female,suzatweet
Ines Montani,Female,_inesmontani
Daniel Bourke,Male,mrdbourke
Pablo Samuel Castro,Male,pcastr
Robert Bracco,Male,madeupmasters
Hamel Husain,Male,HamelHusain
Dmitry Danevskiy,Male,DanevskiyD
Goku Mohandas,Male,GokuMohandas
Eli Stevens | Luca Antiga | Thomas Viehmann,Male,eli0stevens | lantiga | thomasviehmann
Emmanuel Ameisen,Male,mlpowered
NULL,NULL,NULL
Yauhen Babakhin,Male,NULL
Martin Henze,Male,heads0rtai1s
Andreas Mueller,Male,amuellerml
Maximilian Jeblick,Male,NULL
Dmitry Larko,Male,DmitryLarko
Rachel Thomas ,Female,math_rachel
